net,length_um
net3,66.32µm
net4,62.24µm
net2,59.66µm
uo_out[0],58.25µm
_002_,55.34µm
uo_out[1],55.11µm
_023_,53.29µm
net9,50.93µm
net1,50.9µm
net10,49.415µm
net11,47.01µm
net7,44.86µm
_013_,44.42µm
_005_,41.62µm
_008_,40.42µm
net8,37.44µm
net5,36.24µm
_034_,36.14µm
uo_out[2],35.37µm
_006_,34.105µm
_017_,34.04µm
_000_,31.84µm
net6,30.04µm
_029_,29.84µm
_045_,28.12µm
_030_,27.18µm
_024_,26.6µm
_012_,24.32µm
_051_,17.92µm
_007_,17.34µm
_028_,17.28µm
_019_,15.25µm
_056_,15.22µm
_049_,13.6µm
_022_,12.12µm
_046_,11.84µm
carry_out,11.32µm
ui_in[7],11.19µm
_011_,10.88µm
_009_,10.74µm
ui_in[3],10.19µm
ui_in[6],10.19µm
_026_,10.12µm
_043_,9.4µm
ui_in[4],9.36µm
_047_,8.62µm
_001_,8.42µm
_004_,8.06µm
ui_in[5],8.05µm
_044_,7.96µm
ui_in[1],7.59µm
ui_in[2],7.51µm
_050_,7.26µm
uio_in[0],7.13µm
_057_,6.52µm
uo_out[5],6.45µm
uio_in[1],6.3µm
_042_,6.12µm
_039_,6.06µm
ui_in[0],5.67µm
_059_,5.475µm
_016_,5.44µm
_054_,5.44µm
_021_,5.34µm
_041_,5.34µm
_037_,5.26µm
zero_flag,5.26µm
uio_in[2],5.21µm
_003_,4.92µm
uo_out[3],4.65µm
_058_,4.48µm
net24,3.73µm
uo_out[4],3.73µm
_060_,3.68µm
_014_,3.56µm
_015_,3.54µm
_025_,3.3µm
_035_,3.06µm
net12,2.9µm
net13,2.9µm
net14,2.9µm
net15,2.9µm
net16,2.9µm
net17,2.9µm
net18,2.9µm
net19,2.9µm
net20,2.9µm
net21,2.9µm
net22,2.9µm
net23,2.9µm
net25,2.9µm
net26,2.9µm
net27,2.9µm
net28,2.9µm
net,2.9µm
_048_,2.62µm
_055_,2.62µm
_033_,2.5µm
_038_,2.5µm
_031_,2.3µm
_032_,2.3µm
_053_,2.16µm
_018_,2.04µm
_027_,1.84µm
_040_,1.84µm
_036_,1.72µm
_052_,1.7µm
_010_,1.58µm
_020_,0.92µm
